date_time,sample_timestamp_utc_secs,raw_particle_count,particle_concentration,humidity
27/02/2015 17:03:55,1425074635,91,17.9,35
27/02/2015 17:04:25,1425074665,2,16.9,34
27/02/2015 17:04:55,1425074695,20,15.5,35
27/02/2015 17:05:25,1425074725,32,14.4,35
27/02/2015 17:05:55,1425074755,27,14.1,34
27/02/2015 17:06:25,1425074785,198,15.7,34
27/02/2015 17:06:55,1425074815,173,19,34
27/02/2015 17:07:25,1425074845,111,20.8,35
27/02/2015 17:07:55,1425074875,49,20.7,35
27/02/2015 17:08:25,1425074905,115,20,35
27/02/2015 17:08:55,1425074935,43,19.4,34
27/02/2015 17:09:25,1425074965,42,18.4,35
27/02/2015 17:09:55,1425074995,39,17.1,35
27/02/2015 17:10:25,1425075025,26,16,35
27/02/2015 17:10:55,1425075055,30,15.4,35
27/02/2015 17:11:25,1425075085,3,14.3,35
27/02/2015 17:11:55,1425075115,10,13.3,35
27/02/2015 17:12:25,1425075145,21,12.6,34
27/02/2015 17:12:55,1425075175,11,11.9,34
27/02/2015 17:13:25,1425075205,47,11.4,34
27/02/2015 17:13:55,1425075235,48,12.2,35
27/02/2015 17:14:25,1425075265,35,12.3,35
27/02/2015 17:14:55,1425075295,13,11.8,35
27/02/2015 17:15:25,1425075325,20,11.2,35
27/02/2015 17:15:55,1425075355,52,11.5,35
27/02/2015 17:16:25,1425075385,22,11.5,35
27/02/2015 17:16:55,1425075415,54,12.2,35
27/02/2015 17:17:25,1425075445,49,12.5,35
27/02/2015 17:17:55,1425075475,43,12.9,34
27/02/2015 17:18:25,1425075505,23,12.3,35
27/02/2015 17:18:55,1425075535,36,11.8,34
27/02/2015 17:19:25,1425075565,43,12.2,34
27/02/2015 17:19:55,1425075595,34,12.3,35
27/02/2015 17:20:25,1425075625,8,12,34
27/02/2015 17:20:55,1425075655,62,11.8,35
27/02/2015 17:21:25,1425075685,38,12.5,35
27/02/2015 17:21:55,1425075715,12,12.3,35
27/02/2015 17:22:25,1425075745,43,12.5,35
27/02/2015 17:22:55,1425075775,22,12.3,35
27/02/2015 17:23:25,1425075805,18,11.5,35
27/02/2015 17:23:55,1425075835,27,10.9,34
27/02/2015 17:24:25,1425075865,65,11.5,34
27/02/2015 17:24:55,1425075895,30,12,34
27/02/2015 17:25:25,1425075925,15,11.6,35
27/02/2015 17:25:55,1425075955,36,11.6,35
27/02/2015 17:26:25,1425075985,48,11.3,35
27/02/2015 17:26:55,1425076015,50,11.4,35
27/02/2015 17:27:25,1425076045,29,11.8,35
27/02/2015 17:27:55,1425076075,19,11.9,35
27/02/2015 17:28:25,1425076105,48,11.8,35
27/02/2015 17:28:55,1425076135,44,11.8,35
27/02/2015 17:29:25,1425076165,34,12.5,34
27/02/2015 17:29:55,1425076195,12,11.9,35
27/02/2015 17:30:25,1425076225,65,12.2,35
